ID,Brand,Model,Slug,ReleaseYear,PriceUSD,DisplayInches,Battery_mAh,RAM_GB,Storage_GB,MainCameraMP,OS,Weight_g,NotableFeatures,SourceFiles
SYN0001,Apple,iPhone 16,apple-iphone-16,2024,1036.09,7.14,5700,16,256,48.0,iOS,175.9,5G; Foldable; Stylus support; Wireless charging,synthetic_2024_2025.csv
SYN0002,Apple,iPhone 16 Plus,apple-iphone-16-plus,2024,699.7,7.19,5200,8,256,64.0,iOS,166.6,Fast charging; Foldable; Wireless charging; eSIM,synthetic_2024_2025.csv
SYN0003,Apple,iPhone 16 Pro,apple-iphone-16-pro,2024,1311.28,6.49,4450,16,1024,48.0,iOS,192.0,5G; Expandable storage; Fast charging,synthetic_2024_2025.csv
SYN0004,Apple,iPhone 16 Pro Max,apple-iphone-16-pro-max,2024,729.95,7.08,5350,8,512,200.0,iOS,201.4,5G; Stylus support; Water/dust resistant,synthetic_2024_2025.csv
SYN0005,Apple,iPhone 17,apple-iphone-17,2025,1504.34,6.68,5950,8,256,64.0,iOS,168.2,5G; Foldable; Stereo speakers; Stylus support; Water/dust resistant,synthetic_2024_2025.csv
SYN0006,Apple,iPhone 17 Plus,apple-iphone-17-plus,2025,951.84,6.61,5600,8,128,12.0,iOS,234.1,Expandable storage; Fast charging; Foldable; Wireless charging; eSIM,synthetic_2024_2025.csv
SYN0007,Apple,iPhone 17 Pro,apple-iphone-17-pro,2025,1393.14,6.0,5500,12,512,12.0,iOS,208.6,Fast charging; Stereo speakers; Wireless charging,synthetic_2024_2025.csv
SYN0008,Apple,iPhone 17 Pro Max,apple-iphone-17-pro-max,2025,1204.12,6.4,5900,12,512,48.0,iOS,181.5,Expandable storage; Fast charging; eSIM,synthetic_2024_2025.csv
SYN0009,Samsung,Galaxy S24,samsung-galaxy-s24,2024,288.29,6.73,6150,12,256,108.0,Android,182.5,5G; Expandable storage,synthetic_2024_2025.csv
SYN0010,Samsung,Galaxy S24+,samsung-galaxy-s24,2024,1259.15,6.72,3850,12,128,64.0,Android,227.5,Expandable storage; Water/dust resistant; Wireless charging; eSIM,synthetic_2024_2025.csv
